Country,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
0,32.1,14.8,24.6,1.0,13.0,29.5,42629.05
0,32.6,14.2,25.1,1.0,17.6,32.8,42703.81
0,33.2,16.6,26.4,1.0,20.2,38.5,41847.7
0,32.6,16.5,25.6,1.0,20.6,46.8,43171.69
0,30.0,14.8,23.4,1.0,17.5,38.9,43249.08
0,30.7,16.3,24.3,1.0,18.2,33.5,43435.43
0,31.5,14.4,24.9,1.0,16.3,30.6,43512.61
0,32.7,17.0,26.2,1.0,19.9,36.4,43025.04
0,33.9,18.4,27.1,1.0,16.5,32.0,42240.62
0,34.3,16.4,26.9,1.0,18.6,38.2,42928.53
0,33.2,16.7,26.5,1.0,24.5,40.0,39363.53
0,28.3,21.0,24.7,1.0,11.8,29.5,25251.48
0,30.8,17.3,24.8,0.3,18.4,36.7,43593.34
0,33.9,15.7,25.4,1.0,24.5,47.5,43779.38
0,35.7,15.4,26.7,1.0,29.0,58.7,44546.32
0,35.6,21.3,28.6,1.0,23.6,47.9,44640.16
0,34.5,18.7,27.9,1.0,23.3,49.7,44732.77
0,33.6,19.4,27.1,1.0,31.4,64.1,44824.07
0,32.0,15.7,25.0,1.0,25.3,54.7,44914.03
0,32.5,16.0,25.3,1.0,21.3,41.0,45003.16
0,33.8,18.0,26.4,1.0,22.7,45.0,44461.95
0,34.7,18.1,27.9,1.0,16.0,35.6,45179.69
0,36.1,20.1,29.2,1.0,18.8,34.6,45107.5
0,36.8,24.8,30.7,1.0,21.3,39.6,44229.55
0,36.3,23.6,29.7,1.0,14.7,37.4,43133.33
0,33.6,20.3,27.1,0.1,18.3,42.5,45274.13
0,36.1,22.3,28.4,1.0,20.0,42.8,45580.42
0,35.8,22.1,28.7,1.0,19.0,37.4,45617.69
0,34.9,19.6,28.1,1.0,13.6,29.2,43200.0
0,35.6,21.4,29.4,1.0,17.0,32.0,44778.27
0,36.3,24.5,30.2,0.2,16.1,33.5,41918.63
0,37.0,23.8,30.4,1.0,26.2,41.4,43782.33
0,37.3,23.5,30.4,1.0,28.8,50.8,45802.32
0,35.7,22.9,28.8,1.0,21.7,50.8,38744.45
0,35.6,22.0,28.5,1.0,26.4,50.8,45874.72
0,35.7,20.1,28.7,1.0,24.2,37.1,45910.46
0,35.6,22.0,29.0,1.0,18.8,36.4,45945.84
0,35.6,21.9,29.0,1.0,20.8,40.0,45980.82
0,37.1,21.3,29.6,1.0,24.4,55.4,46015.49
0,36.4,23.2,30.0,1.0,17.9,33.8,46050.25
0,37.6,18.7,29.9,1.0,19.9,36.7,46085.09
0,39.3,23.1,31.6,1.0,23.2,38.9,46119.96
0,40.4,23.4,32.4,1.0,25.6,53.3,46154.77
0,39.3,22.8,32.2,1.0,26.8,53.3,46189.46
0,38.7,21.9,31.0,1.0,26.0,51.5,46223.97
0,38.8,23.7,31.8,1.0,25.0,50.0,46258.23
0,38.8,22.7,31.8,1.0,20.0,38.9,46292.15
0,38.2,24.1,31.5,1.0,12.0,29.5,46325.69
0,38.3,24.3,31.4,1.0,17.4,34.2,46358.77
0,39.0,24.0,30.7,1.0,36.1,69.8,46391.31
0,39.0,21.7,30.2,0.1,28.8,60.1,46423.25
0,37.0,22.3,29.5,1.1,27.8,53.3,46454.52
0,37.8,21.8,29.7,1.0,26.7,53.3,46485.05
0,37.0,23.7,30.0,2.8,27.4,54.7,46514.77
0,36.8,22.7,30.0,1.0,30.3,56.9,46543.6
0,34.6,17.6,26.4,1.0,20.2,43.2,46571.5
0,32.7,19.3,25.2,1.2,21.2,42.1,45152.44
0,32.3,19.2,25.5,1.8,16.2,42.1,46485.74
0,33.0,19.3,26.8,1.0,18.2,36.7,46648.92
0,33.7,21.4,28.2,1.0,23.2,42.1,46673.27
0,32.8,19.1,26.2,0.1,22.2,43.9,46697.2
0,32.6,19.3,25.3,0.3,19.9,42.5,46720.65
0,34.0,19.6,27.1,1.0,23.4,43.2,46743.53
0,37.4,22.2,29.9,1.0,14.6,37.1,46765.78
0,38.8,23.9,31.2,1.0,20.7,43.9,46787.32
0,39.1,23.3,32.2,1.0,19.4,39.6,46800.0
0,37.6,23.3,31.5,1.0,19.9,40.0,46800.0
0,36.9,22.1,30.8,1.0,18.7,40.7,46800.0
0,35.8,21.6,29.6,1.0,15.9,37.4,46800.0
0,35.8,20.0,29.3,1.0,14.1,32.4,46800.0
0,35.4,22.7,29.8,1.0,15.7,31.0,46800.0
0,35.3,22.8,29.6,1.0,14.7,29.5,46800.0
0,36.6,24.3,30.2,1.0,26.7,51.5,46800.0
0,37.2,21.8,30.7,1.0,20.5,43.9,46800.0
0,36.6,23.0,30.0,1.0,21.9,44.3,45872.09
0,36.7,22.0,30.0,1.0,24.0,43.6,46800.0
0,39.2,23.2,31.6,1.0,22.0,44.3,46800.0
0,39.3,24.3,32.2,1.0,22.0,41.0,46800.0
0,38.8,25.3,31.8,1.0,20.7,41.0,46800.0
0,36.9,24.3,30.5,1.0,16.9,41.0,46392.61
0,36.3,24.3,30.4,1.0,19.1,36.4,46800.0
0,35.3,24.3,29.9,1.0,22.3,42.8,46800.0
0,35.2,24.3,29.4,1.0,23.9,50.0,46800.0
0,34.6,22.6,27.9,0.2,25.1,54.0,46800.0
0,33.8,22.0,26.5,2.5,24.6,48.6,46221.44
0,32.5,21.3,26.4,0.2,19.4,40.0,43812.09
0,34.0,21.9,27.9,1.0,20.7,37.4,46800.0
0,37.4,22.9,30.6,1.0,26.4,48.6,46800.0
0,38.5,24.0,31.8,1.0,23.9,46.1,46800.0
0,37.8,24.4,31.3,1.0,22.1,42.5,46800.0
0,37.7,23.8,31.1,1.0,21.2,43.2,46800.0
0,36.6,24.6,30.7,1.0,24.5,45.7,46800.0
0,36.4,23.5,29.3,1.0,22.7,46.4,46800.0
0,33.8,23.8,27.8,2.9,16.8,37.4,42196.76
0,29.9,22.6,25.6,2.3,12.7,31.3,39692.8
0,29.0,21.9,25.4,1.1,15.8,33.5,43088.24
0,30.7,22.4,25.8,1.1,16.3,31.7,41960.16
0,31.5,21.8,26.1,0.2,18.8,41.8,42657.87
0,31.8,21.9,25.7,0.7,25.3,46.1,46107.78
0,31.7,20.7,25.2,1.0,24.0,49.0,45772.27
0,32.0,20.0,25.6,0.4,17.6,36.7,42165.75
0,29.7,20.8,25.6,0.1,13.8,31.7,45278.07
0,30.2,21.2,25.6,0.1,14.3,31.7,44256.17
